iers_name, num_ses, obs_len, mean_epoch, beg_epoch, end_epoch, mean_ra, sigma_ra, mean_dec, sigma_dec
0259+681,   2, 23.2, 2006.90, 1995.30, 2018.51,  46.0916828627, 0.255, +68.3604095917, 0.058
0259-316,   2, 14.1, 2011.37, 2004.33, 2018.42,  45.3176843145, 0.491, -31.4377189838, 0.024
0300+129,   1,  0.0, 2020.05, 2020.05, 2020.05,  45.7834795351, 0.000, +13.1496636843, 0.000
0300+470, 825, 37.9, 1994.24, 1982.46, 2020.36,  45.8968425891, 0.012, +47.2711876417, 0.010
0301+336,   3, 21.7, 2009.70, 1996.37, 2018.11,  46.1723435547, 0.290, +33.8120918476, 0.252
0301-243,   3, 10.4, 2014.86, 2008.52, 2018.92,  45.8604286405, 0.187, -24.1198410088, 0.360
0302+173,   4, 22.7, 2006.48, 1996.00, 2018.73,  46.2926008113, 0.085, +17.5830813161, 0.277
0302+625,  70, 28.0, 2009.13, 1992.22, 2020.19,  46.6777481243, 0.038, +62.7172289444, 0.024
0302-437,   7,  9.7, 2017.07, 2009.58, 2019.25,  46.1216758887, 0.264, -43.5544522449, 0.153
0302-623,  95, 29.4, 2010.42, 1990.74, 2020.13,  45.9609639164, 0.119, -62.1904305375, 0.034
0303+051,   5, 22.9, 2012.22, 1995.54, 2018.42,  46.4507983940, 0.039,  +5.3920907432, 0.118
0303+697,   1,  0.0, 2018.57, 2018.57, 2018.57,  47.1159017906, 0.000, +69.9330426732, 0.000
0303-245,   3,  4.5, 2016.83, 2014.41, 2018.92,  46.3313276500, 0.187, -24.3594994546, 1.183
0304+124,   2,  1.5, 2018.33, 2017.60, 2019.06,  46.7522190429, 0.458, +12.6905345432, 0.610
0305+237,   3,  3.1, 2016.69, 2014.97, 2018.05,  47.0466619784, 0.075, +23.9203368384, 0.100
0305-491,   1,  0.0, 2019.28, 2019.28, 2019.28,  46.8924678648, 0.000, -48.9532028104, 0.000
0306+102, 131, 31.2, 2009.02, 1989.21, 2020.38,  47.2650978830, 0.013, +10.4878725003, 0.018
0306+274,   5, 14.2, 2013.57, 2003.82, 2018.05,  47.3420698875, 0.089, +27.6484335063, 0.180
0306-061,   4,  7.0, 2016.77, 2012.11, 2019.06,  47.3470368945, 0.070,  -5.9890139849, 0.245
0307+380, 354, 25.0, 2014.82, 1995.61, 2020.64,  47.7078330158, 0.010, +38.2482883174, 0.011
0307-085,   4, 14.5, 2013.73, 2004.40, 2018.88,  47.5085388744, 0.207,  -8.3942483309, 0.737
0307-362,   3, 13.1, 2011.68, 2005.36, 2018.42,  47.2604613378, 0.396, -36.0677084479, 0.774
0308-611,1029, 32.7, 2013.93, 1988.01, 2020.69,  47.4837464337, 0.015, -60.9775156441, 0.008
0309+360,   2,  2.4, 2016.90, 2015.69, 2018.11,  48.2095326396, 0.073, +36.2554288333, 0.534
0309+411,  74, 31.9, 2006.79, 1988.01, 2019.94,  48.2581755197, 0.031, +41.3336620814, 0.029
0310+013,   4, 22.9, 2011.31, 1995.54, 2018.44,  48.1816801518, 0.030,  +1.5548791465, 0.161
0310+022,   4, 12.9, 2013.83, 2005.55, 2018.44,  48.3058560773, 0.073,  +2.4764741805, 0.285
0310+410,   2,  3.0, 2017.20, 2015.69, 2018.72,  48.4901907638, 1.237, +41.2566592640, 0.654
0312+100,  40, 12.9, 2016.55, 2007.48, 2020.35,  48.8380825716, 0.040, +10.2119677673, 0.037
0312-770,  13, 28.7, 2008.66, 1990.60, 2019.34,  47.9802088004, 0.496, -76.8641245508, 0.092
0313-171,   3, 21.2, 2010.26, 1997.50, 2018.67,  48.8653267379, 0.341, -16.9415873562, 0.320
0314+565,   3, 16.1, 2011.76, 2002.37, 2018.51,  49.4789282272, 0.088, +56.7327198044, 0.032
0314+696,   3, 23.3, 2006.94, 1995.30, 2018.57,  49.8419619763, 0.393, +69.8237827938, 0.056
0315+291,   1,  0.0, 2020.52, 2020.52, 2020.52,  49.7504600740, 0.000, +29.3719944889, 0.000
0315+389,   1,  0.0, 2020.52, 2020.52, 2020.52,  49.7790918991, 0.000, +39.0888745099, 0.000
0315-006,   4, 13.4, 2014.01, 2005.52, 2018.88,  49.5601145252, 0.184,  -0.4969254458, 0.168
0315-282,   3, 10.0, 2015.01, 2008.96, 2018.92,  49.3904137904, 0.306, -28.0551700764, 0.501
0316+162,   6, 23.5, 2010.63, 1996.00, 2019.54,  49.7408463248, 1.372, +16.4757416046, 5.139
0316+308,   2,  3.5, 2016.36, 2014.60, 2018.11,  49.8500467584, 0.345, +31.0290126581, 0.506
0316+413, 323, 41.1, 1995.33, 1979.59, 2020.67,  49.9506670303, 0.104, +41.5116954007, 0.148
0316-164,   2, 10.1, 2013.60, 2008.52, 2018.67,  49.7730333295, 0.059, -16.2297354514, 0.599
0316-444,  18, 11.7, 2015.59, 2008.37, 2020.04,  49.4903310627, 0.199, -44.2381008898, 0.334
0317+188,  51, 23.9, 2002.66, 1995.78, 2019.69,  49.9635696890, 0.042, +19.0253586442, 0.060
0317+659,   3, 23.3, 2006.97, 1995.30, 2018.57,  50.6134535654, 0.086, +66.1745278808, 0.142
0318+438,   2, 22.3, 2007.58, 1996.43, 2018.73,  50.4036177309, 0.349, +43.9895787052, 0.878
0318-172,   2, 10.2, 2013.62, 2008.52, 2018.72,  50.0796136491, 0.666, -17.0442036376, 0.518
0318-388,   3, 16.3, 2007.62, 2002.09, 2018.42,  50.1933515752, 0.395, -38.6245820258, 0.698
0319+121,  75, 31.2, 2007.51, 1987.61, 2018.84,  50.4712646115, 0.025, +12.3538760782, 0.063
0319+396,   6, 12.6, 2012.61, 2005.52, 2018.11,  50.7159584681, 0.139, +39.8006276821, 0.166
0319-056,   5, 14.5, 2012.08, 2004.40, 2018.88,  50.4994598357, 0.085,  -5.4367857303, 0.245
0319-133,   3,  6.1, 2015.27, 2012.64, 2018.72,  50.5631130124, 0.088, -13.2161399774, 0.887
0319-315,   2, 16.4, 2010.26, 2002.09, 2018.44,  50.3697515012, 0.805, -31.3823154910, 0.361
0320+015,   3, 22.9, 2010.43, 1995.54, 2018.44,  50.7911346575, 0.057,  +1.7640297197, 0.110
0320+045,   3, 11.5, 2014.24, 2006.96, 2018.44,  50.8113448964, 0.075,  +4.7701593507, 0.360
0321+340,   3, 21.9, 2009.74, 1996.37, 2018.23,  51.1715054744, 0.076, +34.1794048905, 0.158
0321+467,   2, 22.1, 2007.67, 1996.61, 2018.73,  51.3345995212, 0.084, +46.9185097044, 0.042
0322+222, 722, 24.7, 2015.01, 1996.00, 2020.69,  51.4033931481, 0.007, +22.4001015922, 0.008
0322-230,   4, 13.4, 2013.12, 2005.50, 2018.92,  51.0731385001, 0.095, -22.9049792688, 0.283
0322-294,   5, 12.7, 2013.76, 2005.36, 2018.05,  51.1845640867, 0.108, -29.3058937545, 0.331
0323-244,   5, 20.5, 2008.99, 1997.50, 2018.05,  51.3056027241, 0.086, -24.2633479992, 0.259
