iers_name, num_ses, obs_len, mean_epoch, beg_epoch, end_epoch, mean_ra, sigma_ra, mean_dec, sigma_dec
0705+025,   4,  2.0, 2019.27, 2018.33, 2020.36, 106.9320741053, 0.498,  +2.4360625189, 1.971
0705+239,   2,  0.5, 2019.31, 2019.08, 2019.53, 107.1953037209, 0.074, +23.8875314015, 0.236
0705+350,   5, 12.4, 2015.36, 2006.96, 2019.38, 107.1018659268, 0.161, +34.9283649782, 0.452
0705+377,   5, 13.8, 2015.07, 2005.55, 2019.38, 107.2884272602, 0.125, +37.6314394681, 0.141
0705-142,   5, 17.6, 2014.59, 2002.37, 2019.95, 107.0140644050, 0.200, -14.3543931375, 0.273
0705-412,   6,  9.4, 2016.89, 2009.77, 2019.19, 106.6794159343, 1.544, -41.3732756986, 3.101
0707+424,   5, 22.9, 2013.30, 1996.44, 2019.38, 107.6846922346, 0.128, +42.3486233258, 0.146
0707+476,  89, 33.8, 2011.30, 1987.50, 2021.29, 107.6921036799, 0.023, +47.5364285076, 0.022
0707-028,   6, 14.5, 2016.04, 2005.52, 2020.06, 107.4377275199, 0.029,  -2.9215267887, 0.065
0708+506,   5, 12.5, 2013.99, 2005.52, 2018.05, 108.1820149775, 0.080, +50.5563075653, 0.047
0708+742,   5, 12.5, 2015.12, 2006.96, 2019.51, 108.6505209249, 0.279, +74.1361512013, 0.046
0708-139,   5,  5.4, 2018.02, 2014.60, 2019.95, 107.7505659763, 0.073, -13.9920183553, 0.213
0708-204,   6, 14.2, 2015.91, 2005.52, 2019.69, 107.6942612265, 0.191, -20.5566495926, 0.300
0709+008,   6,  4.2, 2017.80, 2015.21, 2019.41, 107.9471927556, 3.235,  +0.8054873553, 2.778
0709+509,   5, 23.6, 2013.21, 1996.61, 2020.26, 108.3037344411, 0.159, +50.8955254189, 0.125
0709+683,   1,  0.0, 2018.87, 2018.87, 2018.87, 108.7432137265, 0.000, +68.2334793804, 0.000
0709-015,   6,  8.1, 2017.11, 2011.97, 2020.06, 107.9641620412, 0.037,  -1.6326103404, 0.142
0709-387,  10, 17.4, 2014.99, 2002.09, 2019.44, 107.6818181538, 0.265, -38.8436213267, 0.083
0710+196,   6, 15.2, 2015.54, 2004.33, 2019.53, 108.4819965556, 0.050, +19.5834469172, 0.063
0710+257,   2,  0.5, 2019.31, 2019.08, 2019.53, 108.4030035085, 0.017, +25.6713567178, 0.363
0710+268,   2,  0.5, 2019.38, 2019.13, 2019.63, 108.4895486841, 0.103, +26.7470748559, 0.170
0710+439,  27, 27.6, 2001.25, 1990.79, 2018.42, 108.4090172227, 0.089, +43.8214466688, 0.306
0711+356,  28, 30.9, 2004.08, 1987.57, 2018.47, 108.6034062236, 0.203, +35.5777210824, 0.377
0712+207,   2,  0.5, 2019.38, 2019.13, 2019.63, 108.7777132291, 0.064, +20.6926598284, 0.106
0712-037,   3,  1.8, 2019.68, 2018.61, 2020.36, 108.7018789667, 0.704,  -3.8520195543, 4.482
0713+669,   5,  9.8, 2016.76, 2009.31, 2019.07, 109.5234666213, 0.341, +66.8648136017, 0.109
