iers_name, num_ses, obs_len, mean_epoch, beg_epoch, end_epoch, mean_ra, sigma_ra, mean_dec, sigma_dec
0106-391,   1,  0.0, 2018.97, 2018.97, 2018.97,  17.3241578214, 0.000, -38.9155557326, 0.000
0107+069,   3,  2.5, 2018.34, 2017.47, 2019.94,  17.6375696995,28.478,  +7.2450641230,23.185
0107+562,   1,  0.0, 2018.38, 2018.38, 2018.38,  17.7398011048, 0.000, +56.5380418763, 0.000
0107-025,   3,  1.5, 2018.35, 2017.54, 2018.99,  17.5548352532, 0.752,  -2.3313439723, 0.367
0107-045,   3, 11.5, 2013.50, 2007.03, 2018.50,  17.6287615671, 0.294,  -4.2586188033, 0.340
0107-610,  51, 17.3, 2011.89, 2003.60, 2020.90,  17.3144799612, 0.339, -60.8301277919, 0.269
0108+388,  13, 25.5, 2005.47, 1993.31, 2018.83,  17.9054863929, 0.450, +39.1078068775, 0.543
0108-079,   3, 21.2, 2010.27, 1997.35, 2018.51,  17.7084207264, 0.211,  -7.6947533804, 1.124
0108-146,   3,  1.7, 2018.21, 2017.32, 2018.99,  17.7696732552, 4.507, -14.3758052992, 3.326
0108-170,   3, 13.9, 2013.35, 2004.40, 2018.33,  17.6479641515, 0.359, -16.8076948052, 0.603
0109+026,   2,  0.2, 2018.16, 2018.07, 2018.26,  18.0710216133, 0.185,  +2.9605604189, 0.839
0109+200,   4,  1.9, 2017.60, 2016.71, 2018.61,  18.0424617747, 0.231, +20.3393787587, 0.221
0109+224, 167, 29.6, 2012.66, 1991.48, 2021.07,  18.0242696528, 0.066, +22.7441073456, 0.098
0109+351,   4, 22.3, 2010.92, 1996.43, 2018.72,  18.0539350103, 0.135, +35.3720378978, 0.191
0109-135,   3, 12.8, 2013.72, 2005.52, 2018.33,  17.9869080573, 0.217, -13.2836657192, 2.162
0110+318,   3, 22.3, 2009.84, 1996.37, 2018.72,  18.2097210559, 0.086, +32.1381757780, 0.247
0110+495,  67, 26.8, 2012.19, 1994.19, 2020.95,  18.3625283472, 0.116, +49.8066786757, 0.090
