iers_name, num_ses, obs_len, mean_epoch, beg_epoch, end_epoch, mean_ra, sigma_ra, mean_dec, sigma_dec, med_err_ra, med_err_dec
1529-195,   5,  2.0, 2019.34, 2018.38, 2020.36, 233.0327753865, 3.754, -19.6955993371,12.022,15.631,22.142
1529-230,   6,  2.6, 2018.84, 2017.47, 2020.05, 233.1313680095, 0.076, -23.1756842839, 0.154, 0.421, 0.308
1529-271,   5, 14.6, 2015.27, 2005.52, 2020.14, 233.0107150784, 0.079, -27.2771993076, 0.142, 0.125, 0.270
1529-373,   5,  5.5, 2017.58, 2014.42, 2019.88, 233.2400212332, 0.760, -37.5381713328, 2.181, 1.607, 8.310
1530+239,   5, 15.5, 2014.94, 2004.33, 2019.85, 233.1931050315, 0.059, +23.7347966219, 0.088, 0.122, 0.216
1530-041,   5, 14.5, 2015.20, 2005.42, 2019.95, 233.3091887394, 0.060,  -4.3546195673, 0.147, 0.108, 0.250
1530-536,   3,  0.6, 2018.12, 2017.70, 2018.35, 233.5860863353, 0.417, -53.8537285334, 0.180, 0.660, 0.304
1531+722,   5, 23.8, 2012.96, 1995.30, 2019.07, 232.8899106235, 0.361, +72.1114522187, 0.084, 0.116, 0.102
1531-221,  11, 14.4, 2015.84, 2005.50, 2019.85, 233.5980333880, 0.090, -22.3150948336, 0.083, 0.282, 0.459
1531-225,   9,  5.8, 2017.79, 2013.95, 2019.72, 233.5950052619, 0.147, -22.7326749759, 0.086, 0.264, 0.514
1531-352,  12, 10.4, 2014.49, 2008.06, 2018.42, 233.7278649396, 0.078, -35.4398604163, 0.130, 0.239, 0.425
1531-379,   5,  5.5, 2017.60, 2014.42, 2019.88, 233.5894125532, 0.191, -38.0864826958, 0.240, 0.283, 0.736
1532+016,  38, 29.0, 2000.85, 1989.35, 2018.38, 233.7185569960, 0.046,  +1.5178351415, 0.033, 0.641, 0.683
1532+680,   4, 11.9, 2014.45, 2006.96, 2018.84, 233.1805928388, 0.268, +67.9205582677, 0.110, 0.291, 0.311
1533+200,   5, 14.9, 2014.96, 2004.35, 2019.30, 233.8188911822, 0.076, +19.9141410081, 0.336, 0.234, 0.406
1533+487,   5, 23.1, 2013.30, 1996.61, 2019.72, 233.8110553569, 0.125, +48.6165819422, 0.056, 0.169, 0.196
1533-220,   5,  1.3, 2019.04, 2018.57, 2019.85, 234.1220668867, 0.138, -22.2035486227, 0.267, 0.282, 0.712
1533-316,   6, 15.5, 2013.34, 2004.33, 2019.88, 234.2270759369, 0.099, -31.8542040823, 0.182, 0.158, 0.425
1534+387,   3, 14.0, 2014.16, 2005.42, 2019.44, 234.0576923646, 0.167, +38.5579459963, 0.128, 0.203, 0.217
1534+501,   5, 23.1, 2013.30, 1996.61, 2019.72, 233.9668293324, 0.144, +49.9608553305, 0.078, 0.119, 0.164
1534-128,   9,  3.5, 2018.28, 2016.78, 2020.26, 234.3231476688, 0.131, -12.9952376769, 0.124, 0.359, 0.338
1534-152,   7, 14.4, 2014.34, 2005.42, 2019.85, 234.4232213192, 0.038, -15.4534720291, 0.154, 0.125, 0.332
1535+004,   9, 23.2, 2012.30, 1995.54, 2018.70, 234.5664712794, 0.089,  +0.3181455000, 0.062, 0.374, 0.456
1535+013,   2,  0.6, 2019.77, 2019.48, 2020.05, 234.5530975952, 0.029,  +1.1398819722, 0.090, 0.183, 0.379
1535+148,   1,  0.0, 2020.38, 2020.38, 2020.38, 234.5142676348, 0.000, +14.7354287218, 0.000, 0.121, 0.225
1535+231,   6,  1.6, 2017.52, 2016.71, 2018.27, 234.3104202616, 0.117, +23.0112531632, 0.092, 0.213, 0.390
1535-036,   5, 15.5, 2015.01, 2004.40, 2019.95, 234.5847984047, 0.238,  -3.7706424394, 0.159, 0.202, 0.392
1536+046,   6, 15.2, 2015.69, 2004.33, 2019.54, 234.7921040728, 0.059,  +4.5142304286, 0.160, 0.164, 0.353
1536+057,   5, 14.0, 2015.15, 2005.52, 2019.53, 234.7716920877, 0.142,  +5.5773427180, 0.142, 0.190, 0.354
1537+162,   6, 23.3, 2010.44, 1996.01, 2019.30, 234.8545794788, 0.162, +16.0667611060, 0.097, 0.139, 0.225
1537+279,   4, 22.0, 2011.74, 1996.37, 2018.33, 234.9130713945, 0.061, +27.7439476341, 0.228, 0.110, 0.197
1537+312,   5, 13.9, 2015.07, 2005.55, 2019.44, 234.8173929915, 0.140, +31.0687985262, 0.129, 0.227, 0.267
1537-082,   5, 14.4, 2015.23, 2005.52, 2019.95, 235.0131351255, 0.097,  -8.3904171754, 0.309, 0.290, 0.705
1537-207,   6,  5.4, 2017.69, 2014.44, 2019.85, 235.1426795015, 0.568, -20.9258652123, 1.536, 0.840, 1.738
1537-389,   5, 14.4, 2014.78, 2005.50, 2019.88, 235.1439626682, 0.272, -39.1049270842, 0.336, 0.244, 0.707
1538+149, 236, 39.0, 2013.28, 1982.46, 2021.42, 235.2062146630, 0.011, +14.7960790634, 0.017, 0.184, 0.197
1538+477,   5,  3.0, 2017.82, 2016.71, 2019.72, 234.8950432937, 0.238, +47.5920177862, 0.135, 0.296, 0.336
1538-180,   3,  1.3, 2019.21, 2018.56, 2019.88, 235.3373666962, 0.109, -18.2558670393, 0.088, 0.372, 0.397
1539-093,   7,  5.3, 2018.41, 2015.06, 2020.36, 235.5311010484,11.630,  -9.4619981547, 8.013,16.668,16.421
1539-111,   5, 14.7, 2015.23, 2005.52, 2020.26, 235.5001424138, 0.075, -11.3146963247, 0.182, 0.242, 0.607
1539-164,   6,  3.3, 2018.23, 2016.61, 2019.88, 235.5119937873, 0.093, -16.5752014301, 0.137, 0.327, 0.795
1540+539,   3,  0.7, 2018.83, 2018.42, 2019.07, 235.3561027253, 0.035, +53.8036212896, 0.089, 0.171, 0.188
1540+820,   1,  0.0, 2020.64, 2020.64, 2020.64, 234.2501572197, 0.000, +81.9086100614, 0.000, 0.437, 0.244
1540-077,   8,  5.9, 2014.66, 2012.49, 2018.38, 235.7570287390, 1.055,  -7.9518442766, 1.240, 0.681, 0.765
1540-828,  15, 32.5, 2012.42, 1988.01, 2020.56, 237.7464269858, 0.696, -82.9685681510, 0.096, 0.494, 0.541
1541+050,   5, 24.1, 2011.68, 1995.54, 2019.63, 235.8913572900, 0.050,  +4.8720332699, 0.106, 0.111, 0.253
1541+189,   4,  4.3, 2017.73, 2014.97, 2019.30, 235.9325188952, 0.132, +18.7888265422, 0.303, 0.191, 0.378
1541+835,   5, 14.4, 2015.19, 2005.52, 2019.95, 233.9838616480, 0.291, +83.4375683782, 0.077, 0.122, 0.145
1541-230,  10, 14.3, 2016.83, 2005.55, 2019.88, 236.0590759216, 0.092, -23.2003730285, 0.113, 0.146, 0.294
