iers_name, num_cln, num_outl, outl_ra, outl_dec, ra, dec, pmra, pmdec, pmra_err, pmdec_err, pmra_pmdec_cor
2005+372,   8,   0,   0,   0, 301.939,  37.367,  -0.24396,  -0.10595, 0.30172, 0.35598,-0.52445
2005+403,  22,   1,   1,   0, 301.937,  40.497,  -0.03273,  -0.02552, 0.01303, 0.01758, 0.35230
2005+642,  11,   2,   2,   0, 301.574,  64.413,  +0.00026,  -0.00062, 0.00311, 0.00739, 0.11225
2005+737,   3,   2,   2,   0, 301.071,  73.918,,,,,
2005-044,   5,   0,   0,   0, 302.102,  -4.308,  +0.00006,  +0.04198, 0.03137, 0.05644, 0.44602
2005-489,  44,  13,  13,   2, 302.356, -48.832,  +0.01816,  +0.06942, 0.01115, 0.02123, 0.17662
2007+073,   6,   0,   0,   0, 302.481,   7.454,  +0.01722,  +0.04365, 0.01322, 0.03073, 0.04148
2007+659,   1,   4,   4,   1, 301.870,  66.123,,,,,
2007+747,   3,   2,   2,   0, 301.768,  74.874,,,,,
2007+777,  75, 203, 203,   7, 301.379,  77.879,  +0.00366,  +0.00833, 0.00273, 0.01171, 0.07485
2008+332,   4,   1,   1,   0, 302.707,  33.371,,,,,
2008-159, 819,  59,  27,  37, 302.815, -15.778,  +0.00079,  +0.00015, 0.00145, 0.00194,-0.06200
2009+611,   4,   1,   1,   0, 302.705,  61.271,,,,,
2009-193,   5,   0,   0,   0, 303.145, -19.248,  +0.25414,  -0.50085, 0.18565, 0.45809,-0.56698
2010+463,   4,   1,   1,   0, 303.023,  46.482,,,,,
2010+723,   4,   1,   1,   0, 302.468,  72.489,,,,,
2010-265,   5,   0,   0,   0, 303.461, -26.402,  +0.00884,  -0.26492, 0.32890, 0.74036,-0.62335
2013+163, 276,  12,   8,   5, 304.058,  16.543,  +0.00506,  -0.01653, 0.00466, 0.00720,-0.01109
2013+340,   5,   0,   0,   0, 303.870,  34.178,  -0.00791,  +0.06238, 0.02865, 0.03633,-0.20719
2013+370,   4,   1,   1,   0, 303.870,  37.183,,,,,
2013+508,   5,   1,   1,   0, 303.619,  50.986,  -0.11391,  -0.06538, 0.07152, 0.09022,-0.23066
2013+527,   4,   1,   0,   1, 303.830,  52.900,,,,,
