iers_name, num_cln, num_outl, outl_ra, outl_dec, ra, dec, pmra, pmdec, pmra_err, pmdec_err, pmra_pmdec_cor
1441+252, 132,  24,  17,  16, 220.987,  25.029,  +0.03036,  -0.02395, 0.01803, 0.02516, 0.00675
1442+101,  37,   4,   0,   4, 221.319,   9.977,  -0.00152,  +0.02148, 0.01949, 0.02664, 0.20620
1442+637,   5,   0,   0,   0, 220.994,  63.541,  +0.00694,  -0.00242, 0.02129, 0.02906, 0.13511
1442-087,   1,   5,   5,   3, 221.243,  -8.995,,,,,
1443-162,  61,   6,   6,   4, 221.472, -16.484,  -0.01315,  +0.01038, 0.01667, 0.02094,-0.55679
1444+175,   6,   0,   0,   0, 221.647,  17.352,  -0.02326,  +0.04157, 0.00831, 0.02038,-0.45530
1445-161,  36,   2,   1,   1, 222.063, -16.340,  -0.01667,  +0.09516, 0.01082, 0.01562,-0.41279
1448+762,  85,   9,   6,   5, 222.120,  76.020,  +0.02102,  +0.00637, 0.00609, 0.00585, 0.06328
1448-232,   5,   1,   0,   1, 222.760, -23.492,  -0.35616,  -0.01218, 0.24623, 0.56803, 0.04116
1448-648,  23,   3,   1,   3, 223.165, -65.034,  -0.04887,  -0.18742, 0.06278, 0.10081, 0.08887
1451+270,   5,   0,   0,   0, 223.473,  26.809,  +0.01775,  -0.06340, 0.01873, 0.02886,-0.24014
1451-375, 274,  29,  14,  20, 223.614, -37.793,  +0.00319,  -0.00033, 0.00513, 0.00999, 0.11206
1451-400,  73,  16,   8,  14, 223.637, -40.209,  -0.00029,  +0.02343, 0.01454, 0.03014,-0.00532
1452-168,   5,   0,   0,   0, 223.762, -17.004,  -0.17463,  +0.08377, 0.07926, 0.15767,-0.00234
1454-060,   5,   1,   1,   0, 224.172,  -6.295,  -0.62187,  +0.41123, 0.35102, 0.60915, 0.16793
1454-354,  17,   5,   3,   4, 224.361, -35.653,  -0.07113,  +0.29985, 0.02781, 0.06921, 0.16089
1456+044,  94,   7,   5,   7, 224.747,   4.271,  -0.01513,  -0.01567, 0.01185, 0.01838,-0.11528
1458+718,  67,   8,   6,   3, 224.782,  71.672,  +0.00561,  -0.00026, 0.00896, 0.00964,-0.04445
1459+480,  70,   5,   2,   5, 225.203,  47.854,  -0.00155,  +0.01690, 0.00812, 0.00933,-0.10475
1502+036, 398,  64,  44,  42, 226.277,   3.442,  +0.00936,  -0.01355, 0.00633, 0.00965,-0.00884
1502+106, 576,  45,  22,  33, 226.104,  10.494,  -0.00574,  +0.02493, 0.00280, 0.00372,-0.21611
1504+377, 230,  27,  18,  19, 226.540,  37.514,  +0.01306,  +0.01756, 0.00558, 0.00796, 0.00041
1504-166,  82,   3,   1,   3, 226.770, -16.875,  -0.01567,  +0.08579, 0.00795, 0.01286,-0.33123
1505+428,   6,   0,   0,   0, 226.721,  42.656,  +0.01017,  +0.03695, 0.02615, 0.05117,-0.01159
1505-156,   6,   0,   0,   0, 227.149, -15.809,  +0.11822,  +0.67375, 0.07000, 0.13536,-0.17092
1505-496,  14,   2,   1,   2, 227.162, -49.884,  +0.24336,  +0.12942, 0.36429, 0.54072,-0.23084
1508+572,  82,   3,   2,   2, 227.512,  57.045,  +0.00578,  +0.00209, 0.00421, 0.00500,-0.03919
1508-055,  37,   3,   2,   1, 227.723,  -5.719,  -0.00327,  -0.00264, 0.01036, 0.01281, 0.08928
1508-111,   3,   2,   2,   1, 227.685, -11.361,,,,,
